admin_name,WomenProportion,Over65Proportion,AverageSalary,admin_lat,admin_lon,WomenProportionScaled,Over65ProportionScaled
Capellen,0.5121951219512195,0.10975609756097561,6584.268292682927,49.6444,5.9897,5121.951219512195,1097.560975609756
Clervaux,0.42424242424242425,0.12121212121212122,3257.060606060606,50.05,6.0333,4242.424242424243,1212.1212121212122
Diekirch,0.5294117647058824,0.1568627450980392,3933.0588235294117,49.8681,6.1567,5294.117647058823,1568.627450980392
Echternach,0.4,0.2,3440.1,49.8117,6.4217,4000.0,2000.0
Esch,0.525974025974026,0.16558441558441558,3803.301948051948,49.4969,5.9806,5259.74025974026,1655.844155844156
Grevenmacher,0.6041666666666666,0.16666666666666666,4176.145833333333,49.6806,6.4417,6041.666666666666,1666.6666666666665
Luxembourg,0.5748299319727891,0.17346938775510204,5764.809523809524,49.6117,6.1319,5748.299319727891,1734.6938775510205
Mersch,0.54,0.16,4559.16,49.75,6.1,5400.0,1600.0
Redange,0.4642857142857143,0.21428571428571427,3169.8636363636365,49.7652,5.8894,4642.857142857143,2142.8571428571427
Remich,0.4444444444444444,0.25,4450.694444444444,49.5444,6.3667,4444.444444444444,2500.0
Vianden,0.6666666666666666,,3641.3333333333335,49.9336,6.2075,6666.666666666666,
Wiltz,0.5294117647058824,0.058823529411764705,4309.35294117647,49.9667,5.9333,5294.117647058823,588.2352941176471
